Genus,Species,Sample code,Location,Population,Species,Population,Plant,Leaf,Sample,Phytolith,ArBBox,Area,ArEqD,AspRatio,Breadth,CArea,CHull,Circularity,Compactness,Concavity,Convexity,Curve_Length,Curve_Width,EqEllAr,Feret,MaxR,MBCRadius,MinR,ModRatio,PerEqD,Perimeter,Rectangularity,RFactor,Roundness,Shape,Solidity,Sphericity
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,36,2554,1410,42.371,1.298,44.37,1720,157.785,0.537,0.736,310,0.868,24.4,9.3,2005.907,57.567,29.498,28.794,5.059,0.176,448.817,181.681,0.552,0.872,0.542,23.41,0.82,0.171
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,37,3467,1780,47.606,1.236,52.96,2201,180.445,0.502,0.727,421,0.855,27.4,10.7,2722.975,65.46,33.942,32.798,6.765,0.207,566.592,210.995,0.513,0.877,0.529,25.011,0.809,0.199
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,38,1763,873,33.34,1.367,35.91,1114,130.711,0.453,0.679,241,0.84,20.5,7.8,1384.657,49.092,24.924,24.546,6.509,0.265,277.885,155.539,0.495,0.848,0.461,27.712,0.784,0.261
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,39,3222,1875.5,48.867,1.279,50.19,2146,173.341,0.605,0.761,270.5,0.878,25.5,10.7,2530.553,64.203,33.09,32.104,9.968,0.311,596.99,197.439,0.582,0.859,0.579,20.785,0.874,0.301
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,40,2214,1355,41.536,1.218,42.64,1541,145.69,0.655,0.8,186,0.904,21.1,9.7,1738.872,51.923,26.093,25.964,10.527,0.406,431.31,161.196,0.612,0.893,0.64,19.176,0.879,0.403
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,41,4042,2258,53.619,1.339,54.94,2715,198.232,0.552,0.729,457,0.875,29.9,12,3174.579,73.573,38.675,36.867,7.574,0.206,718.744,226.652,0.559,0.858,0.531,22.751,0.832,0.196
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,42,2910,1778,47.58,1.536,43.53,2049,172.933,0.579,0.712,271,0.88,25.8,10,2285.509,66.851,34.03,33.425,8.773,0.262,565.955,196.51,0.611,0.823,0.507,21.719,0.868,0.258
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,43,2933,1805.5,47.946,1.536,43.7,2067.5,175.318,0.594,0.714,262,0.897,25.9,10.6,2303.573,67.119,34.453,33.56,7.827,0.233,574.708,195.439,0.616,0.831,0.51,21.155,0.873,0.227
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,44,4683,2430,55.623,1.299,60.03,2952.5,206.108,0.527,0.713,522.5,0.856,31.1,12.2,3678.02,78.006,39.803,39.003,9.643,0.247,773.493,240.794,0.519,0.841,0.508,23.861,0.823,0.242
Panicum,miliace,10_6,Bcn-1,PI 578074,1,1,1,2,4,45,2813,1578,44.824,1.395,44.9,1854,166.357,0.556,0.715,276,0.881,24.9,10,2209.325,62.65,32.719,31.325,8.718,0.278,502.293,188.853,0.561,0.845,0.512,22.602,0.851,0.266
