@relation chemical_pottery

@ATTRIBUTE group  {1,2,3,4,5,6,7}
@ATTRIBUTE Formula   STRING
@ATTRIBUTE Na2O   NUMERIC
@ATTRIBUTE MgO   NUMERIC
@ATTRIBUTE Al2O3   NUMERIC
@ATTRIBUTE SiO2   NUMERIC
@ATTRIBUTE Cl   NUMERIC
@ATTRIBUTE K2O   NUMERIC
@ATTRIBUTE TiO2   NUMERIC
@ATTRIBUTE Cr2O3   NUMERIC
@ATTRIBUTE MnO   NUMERIC
@ATTRIBUTE Fe2O3   NUMERIC
@ATTRIBUTE NiO   NUMERIC
@ATTRIBUTE CuO   NUMERIC
@ATTRIBUTE ZnO   NUMERIC
@ATTRIBUTE Rb2O   NUMERIC
@ATTRIBUTE SrO   NUMERIC
@ATTRIBUTE Y2O3   NUMERIC
@ATTRIBUTE ZrO2   NUMERIC
@ATTRIBUTE Nb2O5   NUMERIC
@ATTRIBUTE BaO   NUMERIC

@DATA
1,"0109",0.339,1.22,12.6,69.2,0.0709,4.25,1.61,0.0376,0.0337,9.24,0.0032,0.0068,0.0308,0.0316,0.0104,0.0045,0.0929,0.0021,0.0427
1,"0110",0.512,1.38,12.1,69.7,0.0822,4.5,1.54,0.0324,0.0375,8.45,0.0055,0.0073,0.0257,0.0346,0.0151,0.0058,0.0946,0.0041,0.0177
1,"0111",0.57,1.37,11.6,69.9,0.0867,4.28,1.58,0.042,0.0394,9.09,0.0093,0.0125,0.035,0.0344,0.0147,0.0059,0.101,0.0048,0.0035
1,"0111b",0.553,1.3,11.8,70.2,0.081,4.25,1.57,0.0327,0.0372,8.87,0.0052,0.0068,0.0277,0.0324,0.0131,0.0051,0.0948,0.0042,0.0069
1,"0112",0.467,1.18,11.9,70.4,0.0679,4.1,1.46,0.046,0.0422,9.12,0,0,0,0.0333,0.0146,0.0076,0.104,0.0048,0.0111
1,"0113",0.46,1.3,11.7,70.5,0.0651,4.21,1.58,0.037,0.0397,8.75,0.0063,0.0096,0.0334,0.0314,0.0118,0.0045,0.0974,0.004,0.0186
1,"0114",0.422,1.39,12.3,69.8,0.0541,4.11,1.43,0.0335,0.0313,9.29,0.0065,0.0094,0.0269,0.0307,0.011,0.0035,0.0862,0.0015,0
1,"0114b",0.484,1.4,11.9,70.3,0.0569,4.05,1.5,0.0387,0.0322,9.1,0.0067,0.0101,0.0272,0.0312,0.0123,0.0039,0.0875,0.0043,0
1,"0115",0.298,1.13,11.8,72,0.0546,4.28,1.41,0.0412,0.0275,8.01,0,0,0,0.0318,0.0128,0.0064,0.0846,0.0038,0.0048
1,"0118",0.98,1.29,11.8,71.1,0.0534,4.07,1.37,0.0128,0.0396,8.19,0,0,0,0.0275,0.0155,0.0057,0.0868,0.0025,0
